Strain,Hour,AtoB,GPPS,HMGR,HMGS,Idi,Limonene Synthase,MK,NudB,PMD,PMK,Acetyl-CoA,HMG-CoA,Mevalonate,Mev-P,IPP/DMAPP,Limonene,OD600,GPP,NAD,NADP,Acetate,Pyruvate,citrate,Isopentenol
I3,4.0,1331549.5,2650.0,51356.75,254491.75,3150.5,1681.5,99844.5,3868850.0,7706071.5,80511.0,0.279537377,0.00767629,1.10484463,0.623555306,11.55273333,,2.7310000000000003,0.0,1.77817708,0.209858877,1.08572,0.003749292,0.094792796,0.077045862
I3,6.0,,,,,,,,,,,,,,,,,,,,,1.15697,0.003283817,,
I3,8.0,1265187.5,2561.5,63412.5,277390.0,3111.5,1754.0,113500.0,4628502.0,9129930.0,88444.5,,,1.672044795,0.869716041,11.58330034,,3.4360000000000004,0.002313449,,,1.0751700000000002,0.002151631,0.108457797,0.23192486399999998
I3,10.0,,,,,,,,,,,,,,,,,,,,,0.9774579999999999,0.002652458,,
I3,12.0,1281132.0,1569.5,52396.75,237474.25,3575.0,494.0,109144.5,4913407.0,8476178.0,97058.0,0.353337577,0.008369372,1.764374424,1.283673581,12.83644077,,3.676,0.003872528,2.115673665,0.24434061,0.887249,0.0014740410000000002,0.139961502,0.336581552
I3,16.0,,,,,,,,,,,,,,,,,,,,,0.7501180000000001,0.001639472,,
I3,18.0,1651535.0,2977.0,67232.25,306558.0,4228.0,524.0,150376.0,7602226.0,10200000.0,125928.0,0.275772821,0.006214554000000001,1.820365525,1.90867172,11.32056215,,3.522,0.002260147,2.400439643,0.326855578,0.676712,0.000723253,0.19976839,0.644332741
I3,20.0,,,,,,,,,,,,,,,,,,,,,0.617065,0.001177397,,
I3,24.0,1645486.0,2013.5,68439.5,278242.5,3640.0,1303.5,156381.0,7837262.5,9668760.0,121908.5,0.314829327,0.008422429,2.130786859,1.601773249,11.04764205,,3.609,0.002204624,3.0059932419999997,0.358952877,0.634946,0.0,0.241985408,0.868716038
I3,36.0,1592795.0,2352.0,60518.5,260284.25,4797.0,1441.5,153641.0,7497983.5,9963522.0,123403.0,,,2.08655147,0.648013004,0.80087708,,3.1430000000000002,0.001721946,,,0.517504,0.0,,1.232061366
I3,48.0,1484506.0,1923.5,59436.25,254507.25,4165.5,485.5,152473.0,7880829.0,9890994.0,115158.0,0.129837475,0.022634511,1.986295041,0.763137194,0.24724255899999997,,3.1430000000000002,0.0,2.974407218,0.47023439100000003,0.20707399999999998,0.0,0.431172654,1.235809988
I3,72.0,1504861.5,1659.0,60934.75,261730.25,4459.5,1167.0,176848.5,7896547.5,11300000.0,106709.5,,,2.204279305,1.105771525,0.065169513,,3.0410000000000004,0.0,,,0.00222315,0.0,,1.255362473
