Strain,Hour,AtoB,GPPS,HMGR,HMGS,Idi,Limonene Synthase,MK,NudB,PMD,PMK,Acetyl-CoA,HMG-CoA,Mevalonate,Mev-P,IPP/DMAPP,Limonene,OD600,GPP,NAD,NADP,Acetate,Pyruvate,citrate,Isopentenol
I1,0.0,3709.5,1839.0,35334.5,4410.75,1363.0,978.0,37907.5,45592.5,194542.5,35904.0,0.196875955,0.0,0.00348469,0.016535125,2.64120095,,1.659609467,0.0,0.479328672,0.060779232999999995,0.4622,0.049283772,0.051544614,0.0
I1,2.0,,,,,,,,,,,,,,,,,,,,,0.940422,0.005115802,,
I1,4.0,1137211.5,1881.0,35435.5,88653.0,1623.0,805.5,57317.5,3479817.5,8494498.0,60748.5,0.492312608,0.068923427,0.275342622,0.9386684940000001,18.24779706,,2.24,0.0,1.829253002,0.221245876,1.10673,0.003930587,0.076327931,0.059590433
I1,6.0,,,,,,,,,,,,,,,,,,,,,1.20436,0.009759218,,
I1,8.0,1284640.5,1532.5,23406.0,100101.5,2203.0,810.0,65056.0,3979808.5,9318453.0,63854.0,,,0.595143213,1.215890787,17.16390824,,2.69,0.0,,,1.30293,0.06334545700000001,0.07523677,0.10985059900000001
I1,10.0,,,,,,,,,,,,,,,,,,,,,1.40601,0.07693351,,
I1,12.0,1462050.5,1701.5,31620.75,116497.25,3601.0,1978.0,76151.5,4467660.0,11100000.0,67435.0,0.449105391,0.053513555,0.523027072,2.646921943,32.72875677,,2.8160000000000003,0.004491421,1.9310338630000001,0.264771718,1.53421,0.076668366,0.047335613,0.114827408
I1,16.0,,,,,,,,,,,,,,,,,,,,,1.60723,0.07349797200000001,,
I1,18.0,1324483.5,2185.5,27946.0,96875.25,1585.0,809.0,61235.5,4147478.5,9293262.0,65696.0,0.34337364600000003,0.09140322699999999,0.6733195809999999,1.7592458309999999,24.57809789,,2.865,0.004081293,1.697476454,0.18235572,1.74705,0.06804779400000001,0.050817641,0.123506941
I1,20.0,,,,,,,,,,,,,,,,,,,,,1.8170400000000002,0.056594489000000005,,
I1,24.0,1400528.0,1571.0,27008.5,108538.25,2755.5,1280.0,61628.5,4204528.5,9933837.0,69801.5,0.274808025,0.102695403,0.7070405359999999,1.240129513,21.01883882,,2.763,0.00295011,1.5268132140000001,0.160628844,1.9683700000000002,0.051310195999999995,0.049991694,0.134869712
I1,36.0,1493030.5,2349.5,26590.25,114327.0,2969.5,410.5,69561.0,4351987.0,11200000.0,69599.5,,,0.63578018,0.722271744,17.70245353,,3.0,0.0,,,2.25325,0.040606545,,0.140889465
I1,48.0,1496977.0,1999.0,30424.0,118851.25,3025.5,1075.0,68151.0,4767873.0,10900000.0,75768.5,0.126217537,0.130981353,0.645384424,0.7430925490000001,15.79063301,,3.0,0.0,1.0796933640000002,0.095280821,2.35948,0.038859315,0.037399636,0.153882384
I1,72.0,1382228.5,2896.5,27130.25,115593.25,2876.0,1145.0,60403.5,4327006.5,11200000.0,67954.0,,,0.53614677,0.5284053000000001,8.836209271,,3.07,0.0,,,1.22482,0.021504861,,0.17350588
I2,0.0,13637.5,2599.0,14419.0,13196.75,2744.5,1254.5,18005.5,63880.5,339204.0,11920.5,0.116582264,0.009832111999999999,0.012538565,0.307744008,10.08837077,,0.612,0.0,0.295064167,0.052145054,0.3227,0.10970029699999999,0.054740625999999994,0.0
I2,2.0,,,,,,,,,,,,,,,,,,,,,0.7191649999999999,0.18003455899999998,,
I2,4.0,3178236.0,1657.5,106486.75,664215.0,1664.0,1070.5,47259.5,3700243.5,8971152.0,56935.0,0.290864396,0.100557304,1.252410203,0.623555306,5.77835918,,2.2119999999999997,0.0016560589999999999,1.210413042,0.15912963800000002,0.8546360000000001,0.002888141,0.06892699,0.031285222
I2,6.0,,,,,,,,,,,,,,,,,,,,,0.831759,0.0026592559999999996,,
I2,8.0,3785349.5,2033.5,139108.75,797111.0,2343.0,1739.5,58830.0,5424475.5,10900000.0,73375.0,,,2.758794205,0.869716041,5.363780298,,2.932,0.0016479160000000001,,,0.766656,0.001775444,0.109409256,0.101174153
I2,10.0,,,,,,,,,,,,,,,,,,,,,0.626666,0.001487638,,
I2,12.0,4062592.0,2132.5,133428.25,891678.0,3167.5,874.0,81906.0,6713922.0,11100000.0,82222.0,0.27462615,0.129050576,3.675133727,1.283673581,7.188823922999999,,3.492,0.004505487,1.871280825,0.247255325,0.406988,0.000317379,0.143539526,0.1846021
I2,16.0,,,,,,,,,,,,,,,,,,,,,0.16524,0.0,,
I2,18.0,3617661.5,2084.5,75877.25,858975.5,3134.0,1114.0,89106.0,6071427.0,10000000.0,93638.5,0.215372237,0.13890286300000002,4.221687429,1.90867172,8.473734079,,3.6430000000000002,0.0016234860000000002,2.012239198,0.308033031,0.12598900000000002,0.0,0.271480214,0.473839155
I2,20.0,,,,,,,,,,,,,,,,,,,,,0.127399,0.0,,
I2,24.0,4611085.0,1780.5,71489.25,1062152.25,3135.5,1434.5,117581.0,7313743.5,11000000.0,98839.0,0.184016702,0.159128418,4.182626563,1.601773249,7.03810151,,3.838,0.002234236,2.223868359,0.302358775,0.149538,0.0,0.326388,0.728283462
I2,36.0,4253490.0,922.0,62474.0,1012303.25,3484.5,743.5,118410.5,7109809.5,10300000.0,95213.5,,,4.1698736489999995,0.648013004,0.8637008829999999,,3.365,0.004067228,,,0.230769,0.0,,1.036197538
I2,48.0,4871852.5,3212.5,72798.75,1250907.75,3715.5,1864.0,162667.0,8729384.0,12600000.0,100702.0,0.050051686,0.015027106,3.914136149,0.763137194,0.6959694890000001,,3.365,0.0,2.078671364,0.253960819,0.26933,0.0,0.576725458,1.116717825
I2,72.0,5061202.0,1327.0,76135.0,1395125.75,3793.5,541.0,153608.5,9079535.0,13100000.0,98090.5,,,4.226167097,1.105771525,0.25406551,,3.16,0.0,,,0.271301,0.0,,1.136421117
I3,0.0,8897.5,2124.0,5352.0,11167.75,1987.0,696.5,49623.0,45523.5,187399.5,38856.5,0.151420248,0.0,0.014374633999999999,0.307744008,0.33804911,,1.4726604980000002,0.0,0.052535768,0.063575429,0.51708,0.132314569,0.09332623699999999,0.0
I3,2.0,,,,,,,,,,,,,,,,,,,,,0.902075,0.003860335,,
